"date","avg_price","city","name","daily_av"
"2021-03-05",158.990377875486,"amsterdam",NA,2.96
"2021-03-06",156.629162517978,"amsterdam",NA,1.69
"2021-03-07",152.795240973787,"amsterdam",NA,2.69
"2021-03-08",152.723470901797,"amsterdam",NA,4.87
"2021-03-09",152.912183326922,"amsterdam",NA,5.58
"2021-03-10",153.185030499533,"amsterdam",NA,5.75
"2021-03-11",153.327416607133,"amsterdam",NA,8.92
"2021-03-12",156.651426059241,"amsterdam",NA,6.87
"2021-03-13",156.83524756828,"amsterdam",NA,6.73
"2021-03-14",153.141946474694,"amsterdam",NA,6.67
"2021-03-15",153.2249271858,"amsterdam",NA,6.58
"2021-03-16",153.421553003242,"amsterdam",NA,5.5
"2021-03-17",153.732868055174,"amsterdam",NA,5.29
"2021-03-18",153.920371489806,"amsterdam",NA,4.69
"2021-03-19",157.2855965269,"amsterdam",NA,4.94
"2021-03-20",157.441776116942,"amsterdam","March Equinox",4.39
"2021-03-21",153.49958784415,"amsterdam",NA,6.44
"2021-03-22",153.587844150135,"amsterdam",NA,5.33
"2021-03-23",153.830576468649,"amsterdam",NA,6.44
"2021-03-24",154.16293894598,"amsterdam",NA,7.19
"2021-03-25",154.156069681816,"amsterdam",NA,8.29
"2021-03-26",157.537066549431,"amsterdam",NA,9.69
"2021-03-27",157.821948672858,"amsterdam",NA,6.83
"2021-03-28",153.895532230587,"amsterdam",NA,9.58
"2021-03-29",154.003901742045,"amsterdam",NA,11.81
"2021-03-30",154.545199758202,"amsterdam",NA,12.79
"2021-03-31",154.513820959499,"amsterdam",NA,14.46
"2021-04-01",156.38720668242,"amsterdam",NA,9.13
"2021-04-02",160.612188822333,"amsterdam","Good Friday",5.72
"2021-04-03",160.881958564599,"amsterdam",NA,6.96
"2021-04-04",156.70346760455,"amsterdam","Easter",6.23
"2021-04-05",156.320877067649,"amsterdam","Easter Monday",4.35
"2021-04-06",156.067648513491,"amsterdam",NA,2.58
"2021-04-07",156.358245864703,"amsterdam",NA,3.96
"2021-04-08",156.402758696488,"amsterdam",NA,5.67
"2021-04-09",160.422926856075,"amsterdam",NA,7.54
"2021-04-10",160.563884156729,"amsterdam",NA,4.9
"2021-04-11",156.412650436885,"amsterdam",NA,4.27
"2021-04-12",156.34593614332,"amsterdam",NA,3.23
"2021-04-13",156.57069846678,"amsterdam",NA,4.83
"2021-04-14",156.826509864263,"amsterdam",NA,4.54
"2021-04-15",156.914271583228,"amsterdam",NA,5.33
"2021-04-16",160.555421223279,"amsterdam",NA,6.83
"2021-04-17",160.762103643458,"amsterdam",NA,6.81
"2021-04-18",156.493982524592,"amsterdam",NA,8.4
"2021-04-19",156.445677858988,"amsterdam",NA,9.52
"2021-04-20",156.671099631807,"amsterdam",NA,11.54
"2021-04-21",157.035665219542,"amsterdam",NA,7.75
"2021-04-22",157.151508490411,"amsterdam",NA,6.46
"2021-04-23",161.032203110403,"amsterdam",NA,7.52
"2021-04-24",161.304555695994,"amsterdam",NA,8.06
"2021-04-25",157.099192174534,"amsterdam",NA,6.98
"2021-04-26",157.87750728142,"amsterdam",NA,7.1
"2021-04-27",158.413969335605,"amsterdam","Royal Day",9.67
"2021-04-28",157.815573995714,"amsterdam",NA,10.6
"2021-04-29",157.751332637248,"amsterdam",NA,7.69
"2021-04-30",161.218552508655,"amsterdam",NA,7.54
"2021-05-01",161.754135297027,"amsterdam",NA,7.46
"2021-05-02",157.399571357916,"amsterdam",NA,6.65
"2021-05-03",157.385118426114,"amsterdam",NA,10.33
"2021-05-04",157.768862999396,"amsterdam","Commemoration of the Dead",8.77
"2021-05-05",158.167390229159,"amsterdam","Liberation Day",7.1
"2021-05-06",158.227729845579,"amsterdam",NA,6.98
"2021-05-07",161.629444413914,"amsterdam",NA,7.02
"2021-05-08",161.740176952245,"amsterdam",NA,10
"2021-05-09",157.31642578447,"amsterdam","Mother's Day",17.35
"2021-05-10",157.272957080838,"amsterdam",NA,14.85
"2021-05-11",157.604495246469,"amsterdam",NA,13.23
"2021-05-12",158.157443534649,"amsterdam",NA,11.81
"2021-05-13",158.794361707974,"amsterdam","Feast of the Ascension of Jesus Christ",12.52
"2021-05-14",162.316865417376,"amsterdam",NA,10.9
"2021-05-15",162.556245534978,"amsterdam",NA,10.54
"2021-05-16",157.740396768698,"amsterdam",NA,11.69
"2021-05-17",157.732428422267,"amsterdam",NA,10.98
"2021-05-18",158.161620047261,"amsterdam",NA,11.67
"2021-05-19",158.421662911469,"amsterdam",NA,11.12
"2021-05-20",158.500631972303,"amsterdam",NA,12.19
"2021-05-21",162.536846732978,"amsterdam",NA,12.6
"2021-05-22",162.985876792878,"amsterdam",NA,10.27
"2021-05-23",158.171182062977,"amsterdam","Pentecost",11.29
"2021-05-24",156.972632851569,"amsterdam","Pentecost Monday",11.12
"2021-05-25",156.945265703138,"amsterdam",NA,10.58
"2021-05-26",157.074792548222,"amsterdam",NA,10.85
"2021-05-27",157.439028411277,"amsterdam",NA,10.56
"2021-05-28",161.181623344507,"amsterdam",NA,12.85
"2021-05-29",161.435566302138,"amsterdam",NA,12.75
"2021-05-30",156.954168269495,"amsterdam",NA,14.63
"2021-05-31",156.791449139968,"amsterdam",NA,16.58
"2021-06-01",157.317469912623,"amsterdam",NA,18.9
"2021-06-02",157.428367313293,"amsterdam",NA,20.77
"2021-06-03",157.727702368522,"amsterdam",NA,19.58
"2021-06-04",161.280430840248,"amsterdam",NA,19.52
"2021-06-05",161.435950980931,"amsterdam",NA,14.46
"2021-06-06",157.068692641644,"amsterdam",NA,16.4
"2021-06-07",157.124965653679,"amsterdam",NA,17.1
"2021-06-08",157.381766225202,"amsterdam",NA,18.94
"2021-06-09",157.467769412541,"amsterdam",NA,18.56
"2021-06-10",157.721052920811,"amsterdam",NA,18.5
"2021-06-11",161.565807550695,"amsterdam",NA,17.9
"2021-06-12",162.000054954113,"amsterdam",NA,15.9
"2021-06-13",157.64197395175,"amsterdam",NA,16.92
"2021-06-14",157.279276803869,"amsterdam",NA,19.6
"2021-06-15",157.503819310875,"amsterdam",NA,18
"2021-06-16",157.763312633951,"amsterdam",NA,21.73
"2021-06-17",158.309666428532,"amsterdam",NA,23.12
"2021-06-18",161.732153651701,"amsterdam",NA,21.5
"2021-06-19",161.753475847667,"amsterdam",NA,17.46
"2021-06-20",157.444963455515,"amsterdam","Father's Day",17.81
"2021-06-21",157.679947244051,"amsterdam","June Solstice",13.96
"2021-06-22",157.618233774798,"amsterdam",NA,14.7
"2021-06-23",157.672418530527,"amsterdam",NA,14.45
"2021-06-24",158.049843380777,"amsterdam",NA,14.67
"2021-06-25",161.979886794527,"amsterdam",NA,15.54
"2021-06-26",163.027806781338,"amsterdam",NA,19.31
"2021-06-27",158.256910479749,"amsterdam",NA,20.19
"2021-06-28",157.957795240974,"amsterdam",NA,20.12
"2021-06-29",158.003407155026,"amsterdam",NA,16.46
"2021-06-30",158.065285486619,"amsterdam",NA,13.94
"2021-07-01",158.911743694015,"amsterdam",NA,15.4
"2021-07-02",163.131889871957,"amsterdam",NA,16.9
"2021-07-03",163.359619717536,"amsterdam",NA,18.6
"2021-07-04",158.791064461175,"amsterdam",NA,18
"2021-07-05",158.699401000165,"amsterdam",NA,17.23
"2021-07-06",158.827553992416,"amsterdam",NA,17.77
"2021-07-07",158.892509754355,"amsterdam",NA,17.33
"2021-07-08",159.225311864593,"amsterdam",NA,17.46
"2021-07-09",163.092762543276,"amsterdam",NA,16.83
"2021-07-10",163.289003681926,"amsterdam",NA,17.25
"2021-07-11",158.751057866681,"amsterdam",NA,17.52
"2021-07-12",158.752541627741,"amsterdam",NA,19.44
"2021-07-13",158.893498928395,"amsterdam",NA,18.88
"2021-07-14",158.986371379898,"amsterdam",NA,18.06
"2021-07-15",159.296807166016,"amsterdam",NA,18.29
"2021-07-16",163.014013298895,"amsterdam",NA,18.27
"2021-07-17",163.196241138649,"amsterdam",NA,19.65
