"date","daily_av","city"
2021-03-01,5.73,"amsterdam"
2021-03-02,6.69,"amsterdam"
2021-03-03,4.15,"amsterdam"
2021-03-04,4.31,"amsterdam"
2021-03-05,2.96,"amsterdam"
2021-03-06,1.69,"amsterdam"
2021-03-07,2.69,"amsterdam"
2021-03-08,4.87,"amsterdam"
2021-03-09,5.58,"amsterdam"
2021-03-10,5.75,"amsterdam"
2021-03-11,8.92,"amsterdam"
2021-03-12,6.87,"amsterdam"
2021-03-13,6.73,"amsterdam"
2021-03-14,6.67,"amsterdam"
2021-03-15,6.58,"amsterdam"
2021-03-16,5.5,"amsterdam"
2021-03-17,5.29,"amsterdam"
2021-03-18,4.69,"amsterdam"
2021-03-19,4.94,"amsterdam"
2021-03-20,4.39,"amsterdam"
2021-03-21,6.44,"amsterdam"
2021-03-22,5.33,"amsterdam"
2021-03-23,6.44,"amsterdam"
2021-03-24,7.19,"amsterdam"
2021-03-25,8.29,"amsterdam"
2021-03-26,9.69,"amsterdam"
2021-03-27,6.83,"amsterdam"
2021-03-28,9.58,"amsterdam"
2021-03-29,11.81,"amsterdam"
2021-03-30,12.79,"amsterdam"
2021-03-31,14.46,"amsterdam"
2021-04-01,9.13,"amsterdam"
2021-04-02,5.72,"amsterdam"
2021-04-03,6.96,"amsterdam"
2021-04-04,6.23,"amsterdam"
2021-04-05,4.35,"amsterdam"
2021-04-06,2.58,"amsterdam"
2021-04-07,3.96,"amsterdam"
2021-04-08,5.67,"amsterdam"
2021-04-09,7.54,"amsterdam"
2021-04-10,4.9,"amsterdam"
2021-04-11,4.27,"amsterdam"
2021-04-12,3.23,"amsterdam"
2021-04-13,4.83,"amsterdam"
2021-04-14,4.54,"amsterdam"
2021-04-15,5.33,"amsterdam"
2021-04-16,6.83,"amsterdam"
2021-04-17,6.81,"amsterdam"
2021-04-18,8.4,"amsterdam"
2021-04-19,9.52,"amsterdam"
2021-04-20,11.54,"amsterdam"
2021-04-21,7.75,"amsterdam"
2021-04-22,6.46,"amsterdam"
2021-04-23,7.52,"amsterdam"
2021-04-24,8.06,"amsterdam"
2021-04-25,6.98,"amsterdam"
2021-04-26,7.1,"amsterdam"
2021-04-27,9.67,"amsterdam"
2021-04-28,10.6,"amsterdam"
2021-04-29,7.69,"amsterdam"
2021-04-30,7.54,"amsterdam"
2021-05-01,7.46,"amsterdam"
2021-05-02,6.65,"amsterdam"
2021-05-03,10.33,"amsterdam"
2021-05-04,8.77,"amsterdam"
2021-05-05,7.1,"amsterdam"
2021-05-06,6.98,"amsterdam"
2021-05-07,7.02,"amsterdam"
2021-05-08,10,"amsterdam"
2021-05-09,17.35,"amsterdam"
2021-05-10,14.85,"amsterdam"
2021-05-11,13.23,"amsterdam"
2021-05-12,11.81,"amsterdam"
2021-05-13,12.52,"amsterdam"
2021-05-14,10.9,"amsterdam"
2021-05-15,10.54,"amsterdam"
2021-05-16,11.69,"amsterdam"
2021-05-17,10.98,"amsterdam"
2021-05-18,11.67,"amsterdam"
2021-05-19,11.12,"amsterdam"
2021-05-20,12.19,"amsterdam"
2021-05-21,12.6,"amsterdam"
2021-05-22,10.27,"amsterdam"
2021-05-23,11.29,"amsterdam"
2021-05-24,11.12,"amsterdam"
2021-05-25,10.58,"amsterdam"
2021-05-26,10.85,"amsterdam"
2021-05-27,10.56,"amsterdam"
2021-05-28,12.85,"amsterdam"
2021-05-29,12.75,"amsterdam"
2021-05-30,14.63,"amsterdam"
2021-05-31,16.58,"amsterdam"
2021-06-01,18.9,"amsterdam"
2021-06-02,20.77,"amsterdam"
2021-06-03,19.58,"amsterdam"
2021-06-04,19.52,"amsterdam"
2021-06-05,14.46,"amsterdam"
2021-06-06,16.4,"amsterdam"
2021-06-07,17.1,"amsterdam"
2021-06-08,18.94,"amsterdam"
2021-06-09,18.56,"amsterdam"
2021-06-10,18.5,"amsterdam"
2021-06-11,17.9,"amsterdam"
2021-06-12,15.9,"amsterdam"
2021-06-13,16.92,"amsterdam"
2021-06-14,19.6,"amsterdam"
2021-06-15,18,"amsterdam"
2021-06-16,21.73,"amsterdam"
2021-06-17,23.12,"amsterdam"
2021-06-18,21.5,"amsterdam"
2021-06-19,17.46,"amsterdam"
2021-06-20,17.81,"amsterdam"
2021-06-21,13.96,"amsterdam"
2021-06-22,14.7,"amsterdam"
2021-06-23,14.45,"amsterdam"
2021-06-24,14.67,"amsterdam"
2021-06-25,15.54,"amsterdam"
2021-06-26,19.31,"amsterdam"
2021-06-27,20.19,"amsterdam"
2021-06-28,20.12,"amsterdam"
2021-06-29,16.46,"amsterdam"
2021-06-30,13.94,"amsterdam"
2021-07-01,15.4,"amsterdam"
2021-07-02,16.9,"amsterdam"
2021-07-03,18.6,"amsterdam"
2021-07-04,18,"amsterdam"
2021-07-05,17.23,"amsterdam"
2021-07-06,17.77,"amsterdam"
2021-07-07,17.33,"amsterdam"
2021-07-08,17.46,"amsterdam"
2021-07-09,16.83,"amsterdam"
2021-07-10,17.25,"amsterdam"
2021-07-11,17.52,"amsterdam"
2021-07-12,19.44,"amsterdam"
2021-07-13,18.88,"amsterdam"
2021-07-14,18.06,"amsterdam"
2021-07-15,18.29,"amsterdam"
2021-07-16,18.27,"amsterdam"
2021-07-17,19.65,"amsterdam"
2021-07-18,19.98,"amsterdam"
2021-07-19,18.23,"amsterdam"
2021-07-20,18.34,"amsterdam"
2021-07-21,19.58,"amsterdam"
2021-07-22,18.48,"amsterdam"
2021-07-23,17.88,"amsterdam"
2021-07-24,18.87,"amsterdam"
2021-07-25,19.46,"amsterdam"
2021-07-26,19.35,"amsterdam"
2021-07-27,18.02,"amsterdam"
2021-07-28,17.62,"amsterdam"
2021-07-29,16.83,"amsterdam"
2021-07-30,16.94,"amsterdam"
2021-07-31,16.81,"amsterdam"
2021-08-01,15.94,"amsterdam"
2021-08-02,14.83,"amsterdam"
2021-08-03,15.13,"amsterdam"
2021-08-04,16.44,"amsterdam"
2021-08-05,18.33,"amsterdam"
2021-08-06,18.71,"amsterdam"
2021-08-07,17.08,"amsterdam"
2021-08-08,17.21,"amsterdam"
2021-08-09,16.79,"amsterdam"
2021-08-10,17.21,"amsterdam"
2021-08-11,17.65,"amsterdam"
2021-08-12,18.33,"amsterdam"
2021-08-13,17.83,"amsterdam"
2021-08-14,18.54,"amsterdam"
2021-08-15,19.48,"amsterdam"
2021-08-16,16.31,"amsterdam"
2021-08-17,15.56,"amsterdam"
2021-08-18,17.13,"amsterdam"
2021-08-19,16.5,"amsterdam"
2021-08-20,17.73,"amsterdam"
2021-08-21,18.56,"amsterdam"
2021-08-22,18.04,"amsterdam"
2021-08-23,18.5,"amsterdam"
2021-08-24,17.58,"amsterdam"
2021-08-25,16.72,"amsterdam"
2021-08-26,16.15,"amsterdam"
2021-08-27,15.56,"amsterdam"
2021-08-28,17.15,"amsterdam"
2021-08-29,16.62,"amsterdam"
2021-08-30,17.46,"amsterdam"
2021-08-31,15.92,"amsterdam"
2021-09-01,16.58,"amsterdam"
2021-09-02,16.08,"amsterdam"
2021-09-03,16.55,"amsterdam"
2021-09-04,16.06,"amsterdam"
2021-09-05,16.48,"amsterdam"
2021-09-06,18.1,"amsterdam"
2021-09-07,19.43,"amsterdam"
2021-09-08,20.4,"amsterdam"
2021-09-09,20,"amsterdam"
2021-09-10,19.63,"amsterdam"
2021-09-11,18.54,"amsterdam"
2021-09-12,16.65,"amsterdam"
2021-09-13,15.52,"amsterdam"
2021-09-14,18.06,"amsterdam"
2021-09-15,16.67,"amsterdam"
2021-09-16,16.75,"amsterdam"
2021-09-17,16.57,"amsterdam"
2021-09-18,16.42,"amsterdam"
2021-09-19,16.02,"amsterdam"
2021-09-20,13.23,"amsterdam"
2021-09-21,13.23,"amsterdam"
2021-09-22,15.02,"amsterdam"
2021-09-23,16.21,"amsterdam"
2021-09-24,17.73,"amsterdam"
2021-09-25,17.83,"amsterdam"
2021-09-26,17.65,"amsterdam"
2021-09-27,15.65,"amsterdam"
2021-09-28,14.46,"amsterdam"
2021-09-29,12.52,"amsterdam"
2021-09-30,13.12,"amsterdam"
2021-10-01,13.54,"amsterdam"
2021-10-02,13.33,"amsterdam"
2021-10-03,13.38,"amsterdam"
2021-10-04,13.36,"amsterdam"
2021-10-05,12.67,"amsterdam"
2021-10-06,12.69,"amsterdam"
2021-10-07,12.83,"amsterdam"
2021-10-08,11.17,"amsterdam"
2021-10-09,10.79,"amsterdam"
2021-10-10,11.17,"amsterdam"
2021-10-11,12.15,"amsterdam"
2021-10-12,11.35,"amsterdam"
2021-10-13,11.48,"amsterdam"
2021-10-14,14.63,"amsterdam"
2021-10-15,12.25,"amsterdam"
2021-10-16,11.21,"amsterdam"
2021-10-17,11.81,"amsterdam"
2021-10-18,11.69,"amsterdam"
2021-10-19,16.46,"amsterdam"
2021-10-20,15.65,"amsterdam"
2021-10-21,10.25,"amsterdam"
2021-10-22,9.69,"amsterdam"
2021-10-23,8.46,"amsterdam"
2021-10-24,7.96,"amsterdam"
2021-10-25,10.65,"amsterdam"
2021-10-26,12.44,"amsterdam"
2021-10-27,13.27,"amsterdam"
2021-10-28,11.69,"amsterdam"
2021-10-29,12.58,"amsterdam"
2021-10-30,11.96,"amsterdam"
2021-10-31,11.04,"amsterdam"
2021-11-01,9.53,"amsterdam"
2021-11-02,6.94,"amsterdam"
2021-11-03,5.27,"amsterdam"
2021-11-04,6.71,"amsterdam"
2021-11-05,8.27,"amsterdam"
2021-11-06,10.79,"amsterdam"
2021-11-07,9.92,"amsterdam"
2021-11-08,8,"amsterdam"
2021-11-09,8.46,"amsterdam"
2021-11-10,10,"amsterdam"
2021-11-11,10.37,"amsterdam"
2021-11-12,8.1,"amsterdam"
2021-11-13,11.32,"amsterdam"
2021-11-14,9.9,"amsterdam"
2021-11-15,6.88,"amsterdam"
2021-11-16,5.21,"amsterdam"
2021-11-17,8.73,"amsterdam"
2021-11-18,10.41,"amsterdam"
2021-11-19,12.29,"amsterdam"
2021-11-20,10.69,"amsterdam"
2021-11-21,8.25,"amsterdam"
2021-11-22,5.15,"amsterdam"
2021-11-23,7.29,"amsterdam"
2021-11-24,7.06,"amsterdam"
2021-11-25,6.08,"amsterdam"
2021-11-26,4.85,"amsterdam"
2021-11-27,3.56,"amsterdam"
2021-11-28,2.54,"amsterdam"
2021-11-29,4.52,"amsterdam"
2021-11-30,9.19,"amsterdam"
2021-12-01,8.25,"amsterdam"
2021-12-02,2.54,"amsterdam"
2021-12-03,3.92,"amsterdam"
2021-12-04,5.44,"amsterdam"
2021-12-05,4.44,"amsterdam"
2021-12-06,3.02,"amsterdam"
2021-12-07,4.6,"amsterdam"
2021-12-08,4.79,"amsterdam"
2021-12-09,3.7,"amsterdam"
2021-12-10,3.36,"amsterdam"
2021-12-11,5.15,"amsterdam"
2021-12-12,9.4,"amsterdam"
2021-12-13,9.65,"amsterdam"
2021-12-14,9.19,"amsterdam"
2021-12-15,9.75,"amsterdam"
2021-12-16,6.25,"amsterdam"
2021-12-17,7.9,"amsterdam"
2021-12-18,6.35,"amsterdam"
2021-12-19,7.15,"amsterdam"
2021-12-20,4.77,"amsterdam"
2021-12-21,-0.23,"amsterdam"
2021-12-22,-1.9,"amsterdam"
2021-12-23,2.79,"amsterdam"
2021-12-24,7.83,"amsterdam"
2021-12-25,-0.94,"amsterdam"
2021-12-26,-1.23,"amsterdam"
2021-12-27,5.48,"amsterdam"
2021-12-28,8.96,"amsterdam"
2021-12-29,9.71,"amsterdam"
2021-12-30,12.63,"amsterdam"
2021-12-31,12.63,"amsterdam"
2022-01-01,11.72,"amsterdam"
2022-01-02,11.49,"amsterdam"
2022-01-03,9.52,"amsterdam"
2022-01-04,6.54,"amsterdam"
2022-01-05,5.58,"amsterdam"
2022-01-06,3.38,"amsterdam"
2022-01-07,4.19,"amsterdam"
2022-01-08,3.85,"amsterdam"
2022-01-09,4.74,"amsterdam"
2022-01-10,2.48,"amsterdam"
2022-01-11,2.74,"amsterdam"
2022-01-12,3.81,"amsterdam"
2022-01-13,5.58,"amsterdam"
2022-01-14,5.56,"amsterdam"
2022-01-15,2.9,"amsterdam"
2022-01-16,6.48,"amsterdam"
2022-01-17,6.65,"amsterdam"
2022-01-18,3.12,"amsterdam"
2022-01-19,5.13,"amsterdam"
2022-01-20,4.04,"amsterdam"
2022-01-21,4.69,"amsterdam"
2022-01-22,6.77,"amsterdam"
2022-01-23,6.25,"amsterdam"
2022-01-24,4.67,"amsterdam"
2022-01-25,3.08,"amsterdam"
2022-01-26,4.87,"amsterdam"
2022-01-27,7.37,"amsterdam"
2022-01-28,6.81,"amsterdam"
2022-01-29,9.33,"amsterdam"
2022-01-30,6.04,"amsterdam"
2022-01-31,5.9,"amsterdam"
2022-02-01,7.73,"amsterdam"
2022-02-02,8.44,"amsterdam"
2022-02-03,7.63,"amsterdam"
2022-02-04,6.73,"amsterdam"
2022-02-05,6.79,"amsterdam"
2022-02-06,7.35,"amsterdam"
2022-02-07,6.52,"amsterdam"
2022-02-08,10.04,"amsterdam"
2022-02-09,9.06,"amsterdam"
2022-02-10,6.71,"amsterdam"
2022-02-11,4.23,"amsterdam"
2022-02-12,2.94,"amsterdam"
